component,explained_variance_ratio,cumulative_evr
PC1,0.46294351610108103,0.46294351610108103
PC2,0.10727281542098341,0.5702163315220644
PC3,0.09609754270993776,0.6663138742320022
PC4,0.06691612737741175,0.7332300016094139
PC5,0.06444939848987637,0.7976794000992903
PC6,0.05133561571396822,0.8490150158132586
PC7,0.04296539816216416,0.8919804139754227
PC8,0.03217280123928996,0.9241532152147127
PC9,0.022965455264972387,0.9471186704796851
PC10,0.018530726550734834,0.96564939703042
PC11,0.015974076781962897,0.9816234738123829
PC12,0.013356247701726677,0.9949797215141096
PC13,0.005020278485890484,1.0
